"id","part_number","description","material","dimensions","category_raw","category_master","cost","currency","vendor_name","updated_at","source_file","source_system","price_per_unom","raw_json","vault_engineer_name","vault_vault_file_name","vault_revision_no","invoice_description_raw","sap_revision_no","sap_cad_file","po_vendor_name","sap_category","vault_checkout_status","po_description_raw","invoice_due_date","powerbi_abc_class","sap_drawing_no","powerbi_category","sap_engineer_name","invoice_vendor_name","invoice_unit_price","po_delivery_date","vault_material","sap_spec_material","sap_storage_location","invoice_qty_supplied","sap_currency","powerbi_criticality_index","category","sap_approval_status","vault_cad_type","vault_notes","sap_spec_weight","sap_created_date","sap_spec_grade","powerbi_description","powerbi_powerbi_flag","invoice_remarks","po_currency","po_po_no","sap_spec_tolerance","sap_active_flag","sap_sub_category","sap_price_per_uom","powerbi_avg_lead_time_days","sap_commodity_code","powerbi_risk_rating","vault_lifecycle_state","po_order_date","sap_vendor_code","sap_order_uom","sap_material_type","sap_plant","sap_spec_dimensions","powerbi_material","powerbi_sub_category","po_remarks","invoice_invoice_no","sap_valuation_type","sap_is_standard_part","sap_material_group","sap_spec_finish","invoice_invoice_date","vault_file_size_mb","sap_description_clean","po_qty_ordered","vault_category","vault_dimensions","sap_stock_qty","po_price_per_unit","sap_purchase_uom","vault_created_date","sap_material_code","vault_sub_category","invoice_currency","vault_last_modified","powerbi_utilization_score","powerbi_analysis_comment","sap_description_raw","sap_vendor_name","vault_drawing_no","powerbi_movement_frequency","user_dimensions","user_material","user_description","user_category","user_source_system","is_standard_part","revision_no","material_group","spec_dimensions","checkout_status","price_per_uom","utilization_score","spec_grade","movement_frequency","spec_tolerance","description_raw","risk_rating","all_sources","powerbi_flag","stock_qty","material_2","vendor_code","storage_location","sub_category","notes","description_clean","commodity_code","engineer_name","active_flag","drawing_no","lifecycle_state","cad_file","part_number_2","purchase_uom","analysis_comment","ocr_text","file_size_mb","criticality_index","avg_lead_time_days","order_uom","cad_type","plant","last_modified","valuation_type","abc_class","spec_finish","spec_weight","approval_status","spec_material","page","created_date","vault_file_name","sources","powerbi_material_2","sap_part_number_2","vault_material_2"
63,"P0063","Cast Iron Coupling 34x174 mm","HALB","34x174","Pipe Fitting","Pipe Fitting",NULL,"EUR","Prime Engineering","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Suresh","P0063.ipt","A","NaN","A","part_0063.step","NaN","Pipe Fitting","Checked In","NaN","NaN","A","DRW0063","Pipe Fitting","John","NaN","NaN","NaN","Cast Iron","Cast Iron","SL23","NaN","EUR",NULL,"Pipe Fitting","Approved","IPT","Verify with drawing","12.71","26-01-2023","SS316","Cast Iron Coupling 34x174 mm","Low","NaN","NaN","NaN","±0.82 mm","NO","Coupling","1802.37","67.0","61644779.0","B","Under Review","NaN","V366","KG","HALB","1000.0","34x174 mm","Cast Iron","Coupling","NaN","NaN","Standard","NO","Pipe Fitting",NULL,"NaN","13.33","Cast Iron Coupling 34x174 mm","NaN","Pipe Fitting","34x174 mm","1229.0","NaN","EA","26-01-2023","M0063","Coupling","NaN","01-11-2024","0.61",NULL,"Cast Iron Coupling 34x174 mm","Prime Engineering","DRW0063","49.0",NULL,NULL,NULL,NULL,NULL,"NO","A","Pipe Fitting","34x174 mm","Checked In","1802.37","0.61","SS316","49.0","±0.82 mm","Cast Iron Coupling 34x174 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Low","1229.0","Cast Iron","V366","SL23","Coupling","Verify with drawing","Cast Iron Coupling 34x174 mm","61644779.0","Suresh","NO","DRW0063","Under Review","part_0063.step","M0063","EA",NULL,NULL,"13.33",NULL,"67.0","KG","IPT","1000.0","01-11-2024","Standard","A",NULL,"12.71","Approved","Cast Iron","NaN","26-01-2023","P0063.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Cast Iron Coupling 34x174 mm""}]","Cast Iron","M0063","Cast Iron"
64,"P0064","Copper Temperature Sensor 40x111 mm","ROH","40x111","Sensor","Sensor",NULL,"EUR","Prime Engineering","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Priya","P0064.ipt","A","NaN","A","part_0064.step","NaN","Sensor","Checked In","NaN","NaN","B","DRW0064","Sensor","John","NaN","NaN","NaN","Copper","Copper","SL50","NaN","EUR",NULL,"Sensor","Under Review","STEP","Verify with drawing","1.12","26-06-2020","A4","Copper Temperature Sensor 40x111 mm","High","NaN","NaN","NaN","±0.70 mm","YES","Temperature Sensor","978.49","1.0","76894956.0","B","Obsolete","NaN","V307","KG","ROH","3000.0","40x111 mm","Copper","Temperature Sensor","NaN","NaN","Standard","YES","Sensor","Polished","NaN","0.84","Copper Temperature Sensor 40x111 mm","NaN","Sensor","40x111 mm","1728.0","NaN","MTR","26-06-2020","M0064","Temperature Sensor","NaN","23-02-2023",NULL,"Consider alternate sourcing","Copper Temperature Sensor 40x111 mm","Prime Engineering","DRW0064",NULL,NULL,NULL,NULL,NULL,NULL,"YES","A","Sensor","40x111 mm","Checked In","978.49",NULL,"A4",NULL,"±0.70 mm","Copper Temperature Sensor 40x111 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","High","1728.0","Copper","V307","SL50","Temperature Sensor","Verify with drawing","Copper Temperature Sensor 40x111 mm","76894956.0","Priya","YES","DRW0064","Obsolete","part_0064.step","M0064","MTR","Consider alternate sourcing",NULL,"0.84",NULL,"1.0","KG","STEP","3000.0","23-02-2023","Standard","B","Polished","1.12","Under Review","Copper","NaN","26-06-2020","P0064.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Copper Temperature Sensor 40x111 mm""}]","Copper","M0064","Copper"
65,"P0065","Cast Iron Temperature Sensor 42x174 mm","HALB","42x174","Sensor","Sensor",NULL,"EUR","ElectroWorks","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Arun","P0065.ipt","A","NaN","A","part_0065.step","NaN","Sensor","Checked In","NaN","NaN","C","DRW0065","Sensor","Meena","NaN","NaN","NaN","Cast Iron","Cast Iron","SL50","NaN","EUR",NULL,"Sensor","Under Review","STEP","Verify with drawing","9.53","08-07-2022","EN8","Cast Iron Temperature Sensor 42x174 mm","Low","NaN","NaN","NaN","±0.11 mm","YES","Temperature Sensor","4852.89","6.0","42603899.0","B","Under Review","NaN","V438","EA","HALB","3000.0","42x174 mm","Cast Iron","Temperature Sensor","NaN","NaN","Batch","NO","Sensor","Anodized","NaN","20.46","Cast Iron Temperature Sensor 42x174 mm","NaN","Sensor","42x174 mm","1564.0","NaN","MTR","08-07-2022","M0065","Temperature Sensor","NaN","09-12-2021","0.87","Consider alternate sourcing","Cast Iron Temperature Sensor 42x174 mm","ElectroWorks","DRW0065",NULL,NULL,NULL,NULL,NULL,NULL,"NO","A","Sensor","42x174 mm","Checked In","4852.89","0.87","EN8",NULL,"±0.11 mm","Cast Iron Temperature Sensor 42x174 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Low","1564.0","Cast Iron","V438","SL50","Temperature Sensor","Verify with drawing","Cast Iron Temperature Sensor 42x174 mm","42603899.0","Arun","YES","DRW0065","Under Review","part_0065.step","M0065","MTR","Consider alternate sourcing",NULL,"20.46",NULL,"6.0","EA","STEP","3000.0","09-12-2021","Batch","C","Anodized","9.53","Under Review","Cast Iron","NaN","08-07-2022","P0065.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Cast Iron Temperature Sensor 42x174 mm""}]","Cast Iron","M0065","Cast Iron"
66,"P0066","Nylon Stepper Motor 19x146 mm","FERT","19x146","Motor","Motor",NULL,"EUR","Prime Engineering","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Priya","P0066.ipt","D","NaN","D","part_0066.step","NaN","Motor","Checked Out","NaN","NaN","A","DRW0066","Motor","Suresh","NaN","NaN","NaN","Nylon","Nylon","SL15","NaN","EUR",NULL,"Motor","Under Review","IAM","Check interference","1.0","21-05-2022","EN8","Nylon Stepper Motor 19x146 mm","Low","NaN","NaN","NaN","±0.33 mm","YES","Stepper Motor","1547.3",NULL,"68585744.0","A","Under Review","NaN","V607","KG","FERT","3000.0","19x146 mm","Nylon","Stepper Motor","NaN","NaN","Standard","YES","Motor","Zinc Plated","NaN","2.03","Nylon Stepper Motor 19x146 mm","NaN","Motor","19x146 mm","1000.0","NaN","EA","21-05-2022","M0066","Stepper Motor","NaN","16-02-2021","0.31","Check vendor lead time","Nylon Stepper Motor 19x146 mm","Prime Engineering","DRW0066","46.0",NULL,NULL,NULL,NULL,NULL,"YES","D","Motor","19x146 mm","Checked Out","1547.3","0.31","EN8","46.0","±0.33 mm","Nylon Stepper Motor 19x146 mm","A","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Low","1000.0","Nylon","V607","SL15","Stepper Motor","Check interference","Nylon Stepper Motor 19x146 mm","68585744.0","Priya","YES","DRW0066","Under Review","part_0066.step","M0066","EA","Check vendor lead time",NULL,"2.03",NULL,NULL,"KG","IAM","3000.0","16-02-2021","Standard","A","Zinc Plated","1.0","Under Review","Nylon","NaN","21-05-2022","P0066.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Nylon Stepper Motor 19x146 mm""}]","Nylon","M0066","Nylon"
67,"P0067","Aluminum DC Motor 32x109 mm","HALB","32x109","Motor","Motor",NULL,"EUR","ABC Industries","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Suresh","P0067.ipt","D","NaN","D","part_0067.step","NaN","Motor","Checked In","NaN","NaN","A","DRW0067","Motor","Meena","NaN","NaN","NaN","Aluminum","Aluminum","SL42","NaN","EUR",NULL,"Motor","Approved","DWG","Update model","11.63","04-02-2024","SS316","Aluminum DC Motor 32x109 mm","Medium","NaN","NaN","NaN","±0.87 mm","YES","DC Motor","1469.17","62.0","82143394.0","B","Obsolete","NaN","V932","BOX","HALB","1000.0","32x109 mm","Aluminum","DC Motor","NaN","NaN","Standard","YES","Motor","Polished","NaN","18.6","Aluminum DC Motor 32x109 mm","NaN","Motor","32x109 mm","11.0","NaN","MTR","04-02-2024","M0067","DC Motor","NaN","19-03-2023",NULL,NULL,"Aluminum DC Motor 32x109 mm","ABC Industries","DRW0067","65.0",NULL,NULL,NULL,NULL,NULL,"YES","D","Motor","32x109 mm","Checked In","1469.17",NULL,"SS316","65.0","±0.87 mm","Aluminum DC Motor 32x109 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Medium","11.0","Aluminum","V932","SL42","DC Motor","Update model","Aluminum DC Motor 32x109 mm","82143394.0","Suresh","YES","DRW0067","Obsolete","part_0067.step","M0067","MTR",NULL,NULL,"18.6",NULL,"62.0","BOX","DWG","1000.0","19-03-2023","Standard","A","Polished","11.63","Approved","Aluminum","NaN","04-02-2024","P0067.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Aluminum DC Motor 32x109 mm""}]","Aluminum","M0067","Aluminum"
68,"P0068","SS316 Nut 40x64 mm","FERT","40x64","Fastener","Fastener",NULL,"USD","MechSolutions","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Suresh","P0068.ipt","C","NaN","C","part_0068.step","NaN","Fastener","Checked In","NaN","NaN","B","DRW0068","Fastener","Arun","NaN","NaN","NaN","SS316","SS316","SL39","NaN","USD",NULL,"Fastener","Pending","IPT","Verify with drawing","13.16","16-08-2024","SS304","SS316 Nut 40x64 mm","High","NaN","NaN","NaN","±0.30 mm","NO","Nut","2085.03","84.0","58988857.0","B","In Work","NaN","V940","BOX","FERT","2000.0","40x64 mm","SS316","Nut","NaN","NaN","Standard","YES","Fastener",NULL,"NaN","16.16","SS316 Nut 40x64 mm","NaN","Fastener","40x64 mm","964.0","NaN","EA","16-08-2024","M0068","Nut","NaN","23-05-2022","0.86",NULL,"SS316 Nut 40x64 mm","MechSolutions","DRW0068",NULL,NULL,NULL,NULL,NULL,NULL,"YES","C","Fastener","40x64 mm","Checked In","2085.03","0.86","SS304",NULL,"±0.30 mm","SS316 Nut 40x64 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","High","964.0","SS316","V940","SL39","Nut","Verify with drawing","SS316 Nut 40x64 mm","58988857.0","Suresh","NO","DRW0068","In Work","part_0068.step","M0068","EA",NULL,NULL,"16.16",NULL,"84.0","BOX","IPT","2000.0","23-05-2022","Standard","B",NULL,"13.16","Pending","SS316","NaN","16-08-2024","P0068.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""SS316 Nut 40x64 mm""}]","SS316","M0068","SS316"
69,"P0069","Brass Coupler 10x13 mm","HALB","10x13","Hydraulic","Hydraulic",NULL,"USD","ABC Industries","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Meena","P0069.ipt","C","NaN","C","part_0069.step","NaN","Hydraulic","Checked Out","NaN","NaN","A","DRW0069","Hydraulic","Kumar","NaN","NaN","NaN","Brass","Brass","SL44","NaN","USD",NULL,"Hydraulic","Pending","IPT","Update model","6.78","11-02-2023","SS304","Brass Coupler 10x13 mm","Medium","NaN","NaN","NaN","±0.46 mm","NO","Coupler","3130.61",NULL,"97400755.0","B","Released","NaN","V775","BOX","HALB","1000.0","10x13 mm","Brass","Coupler","NaN","NaN","Standard","NO","Hydraulic","Polished","NaN","4.3","Brass Coupler 10x13 mm","NaN","Hydraulic","10x13 mm","687.0","NaN","KG","11-02-2023","M0069","Coupler","NaN","27-04-2023",NULL,"High stock movement","Brass Coupler 10x13 mm","ABC Industries","DRW0069","44.0",NULL,NULL,NULL,NULL,NULL,"NO","C","Hydraulic","10x13 mm","Checked Out","3130.61",NULL,"SS304","44.0","±0.46 mm","Brass Coupler 10x13 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Medium","687.0","Brass","V775","SL44","Coupler","Update model","Brass Coupler 10x13 mm","97400755.0","Meena","NO","DRW0069","Released","part_0069.step","M0069","KG","High stock movement",NULL,"4.3",NULL,NULL,"BOX","IPT","1000.0","27-04-2023","Standard","A","Polished","6.78","Pending","Brass","NaN","11-02-2023","P0069.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Brass Coupler 10x13 mm""}]","Brass","M0069","Brass"
70,"P0070","Brass Elbow 43x63 mm","ROH","43x63","Pipe Fitting","Pipe Fitting",NULL,"INR","Prime Engineering","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Suresh","P0070.ipt","B","NaN","B","part_0070.step","NaN","Pipe Fitting","Checked Out","NaN","NaN","A","DRW0070","Pipe Fitting","John","NaN","NaN","NaN","Brass","Brass","SL21","NaN","INR",NULL,"Pipe Fitting","Pending","IPT","Update model","6.78","24-09-2020","EN8","Brass Elbow 43x63 mm","Low","NaN","NaN","NaN","±0.78 mm","YES","Elbow","3051.09",NULL,"84852298.0","B","Under Review","NaN","V340","EA","ROH","1000.0","43x63 mm","Brass","Elbow","NaN","NaN","Standard","YES","Pipe Fitting","Anodized","NaN","22.45","Brass Elbow 43x63 mm","NaN","Pipe Fitting","43x63 mm","1240.0","NaN","EA","24-09-2020","M0070","Elbow","NaN","22-12-2022","0.09",NULL,"Brass Elbow 43x63 mm","Prime Engineering","DRW0070",NULL,NULL,NULL,NULL,NULL,NULL,"YES","B","Pipe Fitting","43x63 mm","Checked Out","3051.09","0.09","EN8",NULL,"±0.78 mm","Brass Elbow 43x63 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Low","1240.0","Brass","V340","SL21","Elbow","Update model","Brass Elbow 43x63 mm","84852298.0","Suresh","YES","DRW0070","Under Review","part_0070.step","M0070","EA",NULL,NULL,"22.45",NULL,NULL,"EA","IPT","1000.0","22-12-2022","Standard","A","Anodized","6.78","Pending","Brass","NaN","24-09-2020","P0070.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Brass Elbow 43x63 mm""}]","Brass","M0070","Brass"
71,"P0071","Copper Roller Bearing 48x93 mm","HALB","48x93","Bearing","Bearing",NULL,"INR","MechSolutions","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Kumar","P0071.ipt","B","NaN","B","part_0071.step","NaN","Bearing","Checked In","NaN","NaN","C","DRW0071","Bearing","John","NaN","NaN","NaN","Copper","Copper","SL18","NaN","INR","1.0","Bearing","Pending","IAM",NULL,"4.43","06-09-2023","A2","Copper Roller Bearing 48x93 mm","High","NaN","NaN","NaN","±0.75 mm","YES","Roller Bearing","4728.56",NULL,"32301626.0","B","Released","NaN","V520","BOX","HALB","1000.0","48x93 mm","Copper","Roller Bearing","NaN","NaN","Batch","YES","Bearing","Anodized","NaN","7.76","Copper Roller Bearing 48x93 mm","NaN","Bearing","48x93 mm","584.0","NaN","KG","06-09-2023","M0071","Roller Bearing","NaN","01-04-2024","0.52",NULL,"Copper Roller Bearing 48x93 mm","MechSolutions","DRW0071","11.0",NULL,NULL,NULL,NULL,NULL,"YES","B","Bearing","48x93 mm","Checked In","4728.56","0.52","A2","11.0","±0.75 mm","Copper Roller Bearing 48x93 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","High","584.0","Copper","V520","SL18","Roller Bearing",NULL,"Copper Roller Bearing 48x93 mm","32301626.0","Kumar","YES","DRW0071","Released","part_0071.step","M0071","KG",NULL,NULL,"7.76","1.0",NULL,"BOX","IAM","1000.0","01-04-2024","Batch","C","Anodized","4.43","Pending","Copper","NaN","06-09-2023","P0071.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Copper Roller Bearing 48x93 mm""}]","Copper","M0071","Copper"
72,"P0072","Aluminum Coupling 12x101 mm","FERT","12x101","Pipe Fitting","Pipe Fitting",NULL,"EUR","MechSolutions","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Priya","P0072.ipt","D","NaN","D","part_0072.step","NaN","Pipe Fitting","Checked Out","NaN","NaN","A","DRW0072","Pipe Fitting","Kumar","NaN","NaN","NaN","Aluminum","Aluminum","SL35","NaN","EUR","2.0","Pipe Fitting","Pending","STEP","Update model","10.87","03-11-2024","SS304","Aluminum Coupling 12x101 mm","High","NaN","NaN","NaN","±0.40 mm","NO","Coupling","2772.49","25.0","48836706.0","A","In Work","NaN","V531","BOX","FERT","1000.0","12x101 mm","Aluminum","Coupling","NaN","NaN","Batch","NO","Pipe Fitting","Zinc Plated","NaN","12.11","Aluminum Coupling 12x101 mm","NaN","Pipe Fitting","12x101 mm","1995.0","NaN","KG","03-11-2024","M0072","Coupling","NaN","10-12-2021",NULL,"Check vendor lead time","Aluminum Coupling 12x101 mm","MechSolutions","DRW0072",NULL,NULL,NULL,NULL,NULL,NULL,"NO","D","Pipe Fitting","12x101 mm","Checked Out","2772.49",NULL,"SS304",NULL,"±0.40 mm","Aluminum Coupling 12x101 mm","A","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","High","1995.0","Aluminum","V531","SL35","Coupling","Update model","Aluminum Coupling 12x101 mm","48836706.0","Priya","NO","DRW0072","In Work","part_0072.step","M0072","KG","Check vendor lead time",NULL,"12.11","2.0","25.0","BOX","STEP","1000.0","10-12-2021","Batch","A","Zinc Plated","10.87","Pending","Aluminum","NaN","03-11-2024","P0072.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Aluminum Coupling 12x101 mm""}]","Aluminum","M0072","Aluminum"
73,"P0073","Brass DC Motor 7x65 mm","ROH","7x65","Motor","Motor",NULL,"INR","ElectroWorks","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"John","P0073.ipt","A","NaN","A","part_0073.step","NaN","Motor","Checked Out","NaN","NaN","C","DRW0073","Motor","Kumar","NaN","NaN","NaN","Brass","Brass","SL34","NaN","INR","4.0","Motor","Pending","IPT","Check interference","4.64","19-10-2024","A2","Brass DC Motor 7x65 mm","High","NaN","NaN","NaN","±0.92 mm","NO","DC Motor","4292.58",NULL,"30216694.0","B","Under Review","NaN","V702","EA","ROH","1000.0","7x65 mm","Brass","DC Motor","NaN","NaN","Standard","NO","Motor","Polished","NaN","7.57","Brass DC Motor 7x65 mm","NaN","Motor","7x65 mm","686.0","NaN","EA","19-10-2024","M0073","DC Motor","NaN","11-09-2022",NULL,"High stock movement","Brass DC Motor 7x65 mm","ElectroWorks","DRW0073",NULL,NULL,NULL,NULL,NULL,NULL,"NO","A","Motor","7x65 mm","Checked Out","4292.58",NULL,"A2",NULL,"±0.92 mm","Brass DC Motor 7x65 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","High","686.0","Brass","V702","SL34","DC Motor","Check interference","Brass DC Motor 7x65 mm","30216694.0","John","NO","DRW0073","Under Review","part_0073.step","M0073","EA","High stock movement",NULL,"7.57","4.0",NULL,"EA","IPT","1000.0","11-09-2022","Standard","C","Polished","4.64","Pending","Brass","NaN","19-10-2024","P0073.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Brass DC Motor 7x65 mm""}]","Brass","M0073","Brass"
74,"P0074","SS316 U Bracket 23x19 mm","ROH","23x19","Bracket","Bracket",NULL,"EUR","ElectroWorks","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Arun","P0074.ipt","C","NaN","C","part_0074.step","NaN","Bracket","Checked In","NaN","NaN","A","DRW0074","Bracket","Priya","NaN","NaN","NaN","SS316","SS316","SL17","NaN","EUR","3.0","Bracket","Pending","STEP","Update model","9.76","26-06-2023","A2","SS316 U Bracket 23x19 mm","High","NaN","NaN","NaN","±0.55 mm","NO","U Bracket","2809.2",NULL,"97234010.0","B","Under Review","NaN","V464","EA","ROH","2000.0","23x19 mm","SS316","U Bracket","NaN","NaN","Standard","NO","Bracket","Anodized","NaN","12.73","SS316 U Bracket 23x19 mm","NaN","Bracket","23x19 mm","1060.0","NaN","KG","26-06-2023","M0074","U Bracket","NaN","05-05-2021","0.43","Consider alternate sourcing","SS316 U Bracket 23x19 mm","ElectroWorks","DRW0074",NULL,NULL,NULL,NULL,NULL,NULL,"NO","C","Bracket","23x19 mm","Checked In","2809.2","0.43","A2",NULL,"±0.55 mm","SS316 U Bracket 23x19 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","High","1060.0","SS316","V464","SL17","U Bracket","Update model","SS316 U Bracket 23x19 mm","97234010.0","Arun","NO","DRW0074","Under Review","part_0074.step","M0074","KG","Consider alternate sourcing",NULL,"12.73","3.0",NULL,"EA","STEP","2000.0","05-05-2021","Standard","A","Anodized","9.76","Pending","SS316","NaN","26-06-2023","P0074.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""SS316 U Bracket 23x19 mm""}]","SS316","M0074","SS316"
